Date	SPX Index	RACE IM Equity	RACE US Equity	F US Equity	AAPL US Equity	NOKIA FH Equity	EURUSD Curncy
41127	1394.23	#N/A N/A	#N/A N/A	9.15	22.2339	1.982	1.2401
41128	1401.35	#N/A N/A	#N/A N/A	9.31	22.1755	2.182	1.2399
41129	1402.22	#N/A N/A	#N/A N/A	9.35	22.1379	2.14	1.2365
41130	1402.8	#N/A N/A	#N/A N/A	9.34	22.1689	2.278	1.2306
41131	1405.87	#N/A N/A	#N/A N/A	9.35	22.2036	2.32	1.2289
41134	1404.11	#N/A N/A	#N/A N/A	9.4	22.5	2.18	1.2332
41135	1403.93	#N/A N/A	#N/A N/A	9.44	22.5604	2.008	1.2322
41136	1405.53	#N/A N/A	#N/A N/A	9.49	22.5296	2.076	1.229
41137	1415.51	#N/A N/A	#N/A N/A	9.59	22.7264	2.2	1.2356
41138	1418.16	#N/A N/A	#N/A N/A	9.63	23.1468	2.244	1.2334
41141	1418.13	#N/A N/A	#N/A N/A	9.63	23.7554	2.246	1.2346
41142	1413.17	#N/A N/A	#N/A N/A	9.53	23.4308	2.276	1.2473
41143	1413.49	#N/A N/A	#N/A N/A	9.49	23.8882	2.318	1.2529
41144	1402.08	#N/A N/A	#N/A N/A	9.45	23.6654	2.392	1.2564
41145	1411.13	#N/A N/A	#N/A N/A	9.49	23.6865	2.492	1.2512
41148	1410.44	#N/A N/A	#N/A N/A	9.39	24.1314	2.684	1.2499
41149	1409.3	#N/A N/A	#N/A N/A	9.34	24.1	2.474	1.2565
41150	1410.49	#N/A N/A	#N/A N/A	9.32	24.0524	2.27	1.253
41151	1399.48	#N/A N/A	#N/A N/A	9.31	23.7096	2.236	1.2506
41152	1406.58	#N/A N/A	#N/A N/A	9.34	23.7586	2.26	1.2579
41156	1404.94	#N/A N/A	#N/A N/A	9.41	24.1061	2.286	1.2566
41157	1403.43	#N/A N/A	#N/A N/A	9.57	23.9368	1.99	1.2601
41158	1432.12	#N/A N/A	#N/A N/A	9.915	24.1525	1.932	1.2631
41159	1437.92	#N/A N/A	#N/A N/A	10.14	24.3014	2.056	1.2816
41162	1429.08	#N/A N/A	#N/A N/A	10.11	23.6693	2.09	1.2758
41163	1433.57	#N/A N/A	#N/A N/A	10.15	23.5925	2.172	1.2855
41164	1436.56	#N/A N/A	#N/A N/A	10.21	23.9211	2.212	1.29
41165	1459.99	#N/A N/A	#N/A N/A	10.34	24.3921	2.232	1.2991
41166	1465.77	#N/A N/A	#N/A N/A	10.53	24.6886	2.342	1.313
41169	1461.19	#N/A N/A	#N/A N/A	10.39	24.9922	2.28	1.3117
41170	1459.32	#N/A N/A	#N/A N/A	10.42	25.0682	2.19	1.3048
41171	1461.05	#N/A N/A	#N/A N/A	10.59	25.075	2.21	1.3049
41172	1460.26	#N/A N/A	#N/A N/A	10.44	24.9536	2.2	1.2968
41173	1460.15	#N/A N/A	#N/A N/A	10.4	25.0034	2.114	1.298
41176	1456.89	#N/A N/A	#N/A N/A	10.32	24.6711	2.102	1.2931
41177	1441.59	#N/A N/A	#N/A N/A	10.09	24.055	2.12	1.2899
41178	1433.32	#N/A N/A	#N/A N/A	10.01	23.7564	1.997	1.2873
41179	1447.15	#N/A N/A	#N/A N/A	10.02	24.3329	2.05	1.2913
41180	1440.67	#N/A N/A	#N/A N/A	9.86	23.8252	2.01	1.286
41183	1444.49	#N/A N/A	#N/A N/A	9.93	23.5496	2.094	1.2888
41184	1445.75	#N/A N/A	#N/A N/A	9.79	23.6182	2.062	1.292
41185	1450.99	#N/A N/A	#N/A N/A	9.94	23.9804	2.046	1.2905
41186	1461.4	#N/A N/A	#N/A N/A	10.11	23.8143	2.02	1.3018
41187	1460.93	#N/A N/A	#N/A N/A	10.16	23.3068	2.038	1.3045
41191	1441.48	#N/A N/A	#N/A N/A	10.1	22.7089	2.088	1.2885
41192	1432.56	#N/A N/A	#N/A N/A	9.98	22.8896	2.01	1.2875
41193	1432.84	#N/A N/A	#N/A N/A	10.14	22.4321	1.97	1.2928
41194	1428.59	#N/A N/A	#N/A N/A	10.12	22.4898	1.955	1.2951
41197	1440.13	#N/A N/A	#N/A N/A	10.22	22.67	1.994	1.2949
41198	1454.92	#N/A N/A	#N/A N/A	10.3	23.2069	2.17	1.3054
41199	1460.91	#N/A N/A	#N/A N/A	10.41	23.0219	2.2	1.3119
41200	1457.34	#N/A N/A	#N/A N/A	10.43	22.5943	2.222	1.3067
41201	1433.19	#N/A N/A	#N/A N/A	10.1799	21.78	2.104	1.3024
41204	1433.82	#N/A N/A	#N/A N/A	10.17	22.6439	2.16	1.306
41205	1413.11	#N/A N/A	#N/A N/A	10	21.9056	2.05	1.2987
41206	1408.75	#N/A N/A	#N/A N/A	10.17	22.0296	2.02	1.2974
41207	1412.97	#N/A N/A	#N/A N/A	10.39	21.7692	2.028	1.2934
41208	1411.94	#N/A N/A	#N/A N/A	10.36	21.5714	2.006	1.2938
41211	1411.94	#N/A N/A	#N/A N/A	10.36	21.5714	2	1.2904
41212	1411.94	#N/A N/A	#N/A N/A	10.36	21.5714	2.096	1.2959
41213	1412.16	#N/A N/A	#N/A N/A	11.16	21.2614	2.078	1.296
41214	1427.59	#N/A N/A	#N/A N/A	11.25	21.305	2.166	1.2943
41215	1414.2	#N/A N/A	#N/A N/A	11.17	20.6	2.202	1.2835
41218	1417.26	#N/A N/A	#N/A N/A	11.25	20.8793	2.168	1.2796
41219	1428.39	#N/A N/A	#N/A N/A	11.42	20.8161	2.178	1.2814
41220	1394.53	#N/A N/A	#N/A N/A	11.06	19.9286	2.05	1.2771
41221	1377.51	#N/A N/A	#N/A N/A	10.9	19.2054	2.068	1.2747
41222	1379.85	#N/A N/A	#N/A N/A	10.93	19.5379	2.09	1.2714
41226	1374.53	#N/A N/A	#N/A N/A	11	19.3892	2.124	1.2704
41227	1355.49	#N/A N/A	#N/A N/A	10.67	19.1743	2.156	1.2736
41228	1353.33	#N/A N/A	#N/A N/A	10.57	18.7721	2.148	1.2781
41229	1359.88	#N/A N/A	#N/A N/A	10.5	18.8456	2.11	1.2743
41232	1386.89	#N/A N/A	#N/A N/A	10.83	20.2046	2.3	1.2814
41233	1387.81	#N/A N/A	#N/A N/A	10.85	20.0326	2.342	1.2817
41234	1391.03	#N/A N/A	#N/A N/A	10.92	20.0607	2.488	1.2829
41236	1409.15	#N/A N/A	#N/A N/A	11.1	20.4107	2.754	1.2976
41239	1406.29	#N/A N/A	#N/A N/A	11.105	21.0546	2.656	1.2972
41240	1398.94	#N/A N/A	#N/A N/A	11.1	20.885	2.566	1.2943
41241	1409.93	#N/A N/A	#N/A N/A	11.25	20.8193	2.54	1.2953
41242	1415.95	#N/A N/A	#N/A N/A	11.53	21.0486	2.594	1.2979
41243	1416.18	#N/A N/A	#N/A N/A	11.45	20.9029	2.55	1.2986
41246	1409.46	#N/A N/A	#N/A N/A	11.41	20.9354	2.516	1.3054
41247	1407.05	#N/A N/A	#N/A N/A	11.31	20.5659	2.526	1.3094
41248	1409.28	#N/A N/A	#N/A N/A	11.31	19.2426	2.77	1.3068
41249	1413.94	#N/A N/A	#N/A N/A	11.24	19.5444	2.77	1.297
41250	1418.07	#N/A N/A	#N/A N/A	11.48	19.0446	2.918	1.2927
41253	1418.55	#N/A N/A	#N/A N/A	11.47	18.9222	2.814	1.2941
41254	1427.84	#N/A N/A	#N/A N/A	11.49	19.3353	2.954	1.3005
41255	1428.48	#N/A N/A	#N/A N/A	11.47	19.25	2.944	1.3074
41256	1419.45	#N/A N/A	#N/A N/A	11.27	18.9175	2.902	1.3077
41257	1413.58	#N/A N/A	#N/A N/A	11.1	18.2069	2.95	1.3163
41260	1430.36	#N/A N/A	#N/A N/A	11.39	18.5296	2.968	1.3164
41261	1446.79	#N/A N/A	#N/A N/A	11.67	19.0679	3.202	1.3229
41262	1435.81	#N/A N/A	#N/A N/A	11.73	18.7968	3.162	1.3227
41263	1443.69	#N/A N/A	#N/A N/A	11.77	18.6332	3.168	1.3244
41264	1430.15	#N/A N/A	#N/A N/A	11.86	18.5475	3.054	1.3188
41267	1426.66	#N/A N/A	#N/A N/A	12.4	18.5774	3.054	1.3185
41269	1419.83	#N/A N/A	#N/A N/A	12.79	18.3214	3.054	1.3224
41270	1418.1	#N/A N/A	#N/A N/A	12.76	18.395	3.012	1.3236
41271	1402.43	#N/A N/A	#N/A N/A	12.87	18.1996	2.926	1.3216
41274	1426.19	#N/A N/A	#N/A N/A	12.95	19.0062	2.926	1.3193
41276	1462.42	#N/A N/A	#N/A N/A	13.2	19.6082	3.124	1.3186
41277	1459.37	#N/A N/A	#N/A N/A	13.46	19.3606	3.2	1.3049
41278	1466.47	#N/A N/A	#N/A N/A	13.57	18.8214	3.224	1.3069
41281	1461.89	#N/A N/A	#N/A N/A	13.43	18.7107	3.28	1.3117
41282	1457.15	#N/A N/A	#N/A N/A	13.35	18.7611	3.076	1.3081
41283	1461.02	#N/A N/A	#N/A N/A	13.47	18.4679	3	1.3064
41284	1472.12	#N/A N/A	#N/A N/A	13.83	18.6968	3.324	1.3272
41285	1472.05	#N/A N/A	#N/A N/A	14	18.5821	3.396	1.3343
41288	1470.68	#N/A N/A	#N/A N/A	13.99	17.9196	3.444	1.3382
41289	1472.34	#N/A N/A	#N/A N/A	14.3	17.3543	3.432	1.3306
41290	1472.63	#N/A N/A	#N/A N/A	14.22	18.0746	3.474	1.3289
41291	1480.94	#N/A N/A	#N/A N/A	14.22	17.9529	3.42	1.3376
41292	1485.98	#N/A N/A	#N/A N/A	14.11	17.8571	3.312	1.3321
41296	1492.56	#N/A N/A	#N/A N/A	14.17	18.0275	3.42	1.3322
41297	1494.81	#N/A N/A	#N/A N/A	13.88	18.3573	3.488	1.3318
41298	1494.82	#N/A N/A	#N/A N/A	13.87	16.0893	3.296	1.3377
41299	1502.96	#N/A N/A	#N/A N/A	13.68	15.71	3.08	1.3464
41302	1500.18	#N/A N/A	#N/A N/A	13.78	16.0654	3.11	1.3456
41303	1507.84	#N/A N/A	#N/A N/A	13.14	16.3668	3.152	1.3492
41304	1501.96	#N/A N/A	#N/A N/A	12.93	16.3154	3.014	1.3567
41305	1498.11	#N/A N/A	#N/A N/A	12.95	16.2675	2.882	1.3579
41306	1513.17	#N/A N/A	#N/A N/A	13.02	16.2007	2.92	1.364
41309	1495.71	#N/A N/A	#N/A N/A	12.88	15.797	2.858	1.3514
41310	1511.29	#N/A N/A	#N/A N/A	13.18	16.3516	2.884	1.3583
41311	1512.12	#N/A N/A	#N/A N/A	13.2	16.3339	2.964	1.3523
41312	1509.39	#N/A N/A	#N/A N/A	13.07	16.7221	3.02	1.3398
41313	1517.93	#N/A N/A	#N/A N/A	13.1	16.9636	3.06	1.3365
